Name of College,Email
National Park Community College,admissions@np.edu 
University of Alaska Fairbanks,admissions@uaf.edu 
University of Arkansas – Fort Smith,admissions@uafs.edu 
Alabama A&M University,admissions@aamu.edu 
Athens State University,admissions@athens.edu 
Auburn University,admissions@auburn.edu 
Auburn University at Montgomery,admissions@aum.edu 
Birmingham-Southern College,admissions@bsc.edu 
Calhoun Community College,admissions@calhoun.edu 
Enterprise State Community College,admissions@escc.edu 
Faulkner State Community College,admissions@faulknerstate.edu 
Gadsden State  Community College,admissions@gadsdenstate.edu 
Huntingdon College,admissions@huntingdon.edu 
Jacksonville State University,admissions@jsu.edu 
Lurleen B. Wallace Community College,admissions@lbwcc.edu 
University of Montevallo,admissions@montevallo.edu 
Northeast Alabama Community College,admissions@nacc.edu 
Northwest-Shoals Community College,admissions@nwscc.edu 
Oakwood University,admissions@oakwood.edu 
Samford University,admissions@samford.edu 
Southeastern Bible College,admissions@sebc.edu 
University of South Alabama,admissions@southalabama.edu 
Trenholm State Technical College,admissions@trenholmstate.edu 
Troy University,admissions@troy.edu 
Tuskegee University,admissions@tuskegee.edu 
University of Alabama,admissions@ua.edu 
University of Alabama at Birmingham,admissions@uab.edu 
University of Alabama in Huntsville,admissions@uah.edu 
University of North Alabama,admissions@una.edu 
Snead State Community College,admissions@snead.edu 
Arkansas Northeastern College,admissions@anc.edu 
Arkansas State University,admissions@astate.edu 
Arkansas Tech University,admissions@atu.edu 
Central Baptist College,admissions@cbc.edu 
Harding University,admissions@harding.edu 
Hendrix College,admissions@hendrix.edu 
Henderson State University,admissions@hsu.edu 
John Brown University,admissions@jbu.edu 
Lyon College,admissions@lyon.edu 
Mid-South Community College,admissions@midsouthcc.edu 
North Arkansas College,admissions@northark.edu 
Northwest Arkansas Community College,admissions@nwacc.edu 
Northwest Technical Institute,admissions@nwti.edu 
Ouachita Baptist University,admissions@obu.edu 
University of the Ozarks,admissions@ozarks.edu 
Phillips Community College U of A,admissions@pccua.edu 
Pulaski Technical College,admissions@pulaskitech.edu 
Southern Arkansas University Magnolia,admissions@saumag.edu 
Southeast Arkansas College,admissions@seark.edu 
University of Arkansas Community College Batesville,admissions@uaccb.edu 
University of Arkansas at Little Rock,admissions@ualr.edu 
University of Arkansas for Medical Sciences,admissions@uams.edu 
University of Arkansas at Pine Bluff,admissions@uapb.edu 
University of Arkansas,admissions@uark.edu 
University of Central Arkansas,admissions@uca.edu 
Williams Baptist College,admissions@wbcoll.edu 
University of Arizona,admissions@arizona.edu 
Arizona Western College,admissions@azwestern.edu 
Bryan University,admissions@bryanuniversity.edu 
Central Arizona College,admissions@centralaz.edu 
Glendale Community College,admissions@gccaz.edu 
Grand Canyon University,admissions@gcu.edu 
Maricopa Community Colleges,admissions@maricopa.edu 
Mesa Community College,admissions@mesacc.edu 
Northern Arizona University,admissions@nau.edu 
Northland Pioneer  College,admissions@npc.edu 
University of Phoenix,admissions@phoenix.edu 
Phoenix College,admissions@phoenixcollege.edu 
Pima Community College,admissions@pima.edu 
Prescott College,admissions@prescott.edu 
Rio Salado College,admissions@riosalado.edu 
South Mountain Community College,admissions@southmountaincc.edu 
University of Advancing Technology,admissions@uat.edu 
Yavapai College,admissions@yc.edu 
Academy of Arts University,admissions@academyart.edu 
Adance Computing Institute,admissions@advancedcomputinginstitute.edu 
Acupuncture & Integrative Medicine College,admissions@aimc.edu 
Alliant International University,admissions@alliant.edu 
Allied American University,admissions@allied.edu 
Anaheim University,admissions@anaheim.edu 
Angeles College,admissions@angelescollege.edu 
Antioch University Los Angeles,admissions@antiochla.edu 
Argosy University,admissions@argosy.edu 
Art Center College of Design,admissions@artcenter.edu 
The Art Institute,admissions@artinstitutes.edu 
Ashford University,admissions@ashford.edu 
ATI College,admissions@ati.edu 
Antelope Valley College,admissions@avc.edu 
Bakersfield College,admissions@bakersfieldcollege.edu 
Barstow Community College,admissions@barstow.edu 
Berkeley University of California,admissions@berkeley.edu 
Berkeley City College,admissions@berkeleycitycollege.edu 
Brandman University,admissions@brandman.edu 
Butte College,admissions@butte.edu 
Cabrillo College,admissions@cabrillo.edu 
California Institute of the Arts,admissions@calarts.edu 
California Baptist University,admissions@calbaptist.edu 
California Lutheran University,admissions@callutheran.edu 
California Miramar University,admissions@calmu.edu 
California Polytechnic State University,admissions@calpoly.edu 
California State University,admissions@calstate.edu 
California Institute of Technology,admissions@caltech.edu 
Canada College,admissions@canadacollege.edu 
College of the Canyons,admissions@canyons.edu 
California College of the Arts,admissions@cca.edu 
California Community Colleges Chanellor’s Office,admissions@cccco.edu 
City College of San Francisco,admissions@ccsf.edu 
Cerritos College,admissions@cerritos.edu 
Cerro Coso Community College,admissions@cerrocoso.edu 
Claremont Graduate University,admissions@cgu.edu 
Chaffey College,admissions@chaffey.edu 
Chapman University,admissions@chapman.edu 
California Institute of Integral Studies,admissions@ciis.edu 
Citrus College,admissions@citruscollege.edu 
The Claremont Colleges,admissions@claremont.edu 
Claremont McKenna College,admissions@cmc.edu 
Copper Mountain College,admissions@cmccd.edu 
Cogswell Polytechnical College,admissions@cogswell.edu 
College of San Mateo,admissions@collegeofsanmateo.edu 
College of the Desert,admissions@collegeofthedesert.edu 
El Camino College Compton Center,admissions@compton.edu 
Contra Costa College,admissions@contracosta.edu 
College of the Sequoias,admissions@cos.edu 
Crafton Hills College,admissions@craftonhills.edu 
California State University Bakersfield,admissions@csub.edu 
California State University Channel Islands,admissions@csuci.edu 
California State University Dominguez Hills,admissions@csudh.edu 
California State University East Bay,admissions@csueastbay.edu 
Fresno State,admissions@fresnostate.edu 
California State University Long Beach,admissions@csulb.edu 
California State University Monterey Bay,admissions@csumb.edu 
California State University Northridge,admissions@csun.edu 
California State Polytechnic University Pomona,admissions@csupomona.edu 
California State University Sacramento,admissions@csus.edu 
California State University San Bernardino,admissions@csusb.edu 
California State University San Marcos,admissions@csusm.edu 
California State University Stanislaus,admissions@csustan.edu 
Cuesta College,admissions@cuesta.edu 
Cuyamaca College,admissions@cuyamaca.edu 
California Western School of Law San Diego,admissions@cwsl.edu 
Cypress College,admissions@cypresscollege.edu 
DeAnza College,admissions@deanza.edu 
San Joaquin Delta College,admissions@deltacollege.edu 
Dominican University of California,admissions@dominican.edu 
Dominican School of Philosophy and Theology,admissions@dspt.edu 
Diablo Valley College,admissions@dvc.edu 
East Los Angeles College,admissions@elac.edu 
El Camino College,admissions@elcamino.edu 
Ex’pression College,admissions@expression.edu 
Foothill-De Anza Community College District,admissions@fhda.edu 
Fashion Institute of Design & Merchandising,admissions@fidm.edu 
Fielding Graduate University,admissions@fielding.edu 
Foothill College,admissions@foothill.edu 
